"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"United States","Callaway","Union Electric Co - (MO)","","38.758919","-91.778841","Fulton","Callaway","Missouri","65251","Route CC","1235.8","0","Nuclear","","0","0","0","0","0","0","1235.8","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Calumet Energy Team LLC","IPA Operations Inc - Calumet","","41.6835","-87.5563","Chicago","Cook","Illinois","60617","11653 S Torrance Ave","312.8","0","Natural Gas","","0","312.8","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Calvert Cliffs Nuclear Power Plant","Exelon Nuclear","","38.4344","-76.4417","Lusby","Calvert","Maryland","20657","1650 Calvert Cliffs Parkway","1828.7","0","Nuclear","","0","0","0","0","0","0","1828.7","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cambridge CT","Great River Energy","","45.601","-93.2081","Cambridge","Isanti","Minnesota","55008","Highway 65","194.2","0","Natural Gas","","0","169.2","25","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Camden Plant Holding LLC","Morris Energy Operations Company, LLC","","39.9175","-75.1192","Camden","Camden","New Jersey","8104","570 Chelton Ave","157","0","Natural Gas","","0","157","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cameron Wind 1 LLC","Cameron Wind 1 LLC","","26.195278","-97.466111","Rio Hondo","Cameron","Texas","78583","25005 FM 1847 B","165","165","Wind","Wind","0","0","0","0","0","0","0","0","165","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Camino","Sacramento Municipal Util Dist","","38.82881","-120.537089","Camino","El Dorado","California","95726","Highway 50","157.8","157.8","Hydroelectric","Hydroelectric","0","0","0","0","157.8","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Camp Grove Wind Farm","Orion Energy Group LLC","","41.090583","-89.639811","Wyoming","Stark","Illinois","61491","RR2, Box 55B","150","150","Wind","Wind","0","0","0","0","0","0","0","0","150","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Campbell Industrial Park","Hawaiian Electric Co Inc","","21.3025","-158.101667","Kapolei","Honolulu","Hawaii","96707","91-196 Hanua Street","113","113","Biomass","Biomass","0","0","0","0","0","0","0","0","0","0","113","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Campo Verde Solar","Southern Power Co","","32.753333","-115.726389","Seeley","Imperial","California","92273","2007 W. Diehl Rd","147.4","147.4","Solar","Solar","0","0","0","0","0","0","0","147.4","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Canaday","Nebraska Public Power District","","40.6942","-99.7011","Lexington","Gosper","Nebraska","68850","74965 Rd 435","108.8","0","Natural Gas","","0","108.8","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Canadian Hills Wind","Canadian Hills Wind LLC","","35.629722","-98.024722","El Rino","Canadian","Oklahoma","73014","14730 Calumet Road NW","298.5","298.5","Wind","Wind","0","0","0","0","0","0","0","0","298.5","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Canal","NRG Canal LLC","","41.7694","-70.5097","Sandwich","Barnstable","Massachusetts","2563","9 Freezer Road","1165","0","Petroleum","","0","0","1165","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cane Island","Kissimmee Utility Authority","","28.2764","-81.533","Intercession City","Osceola","Florida","33848","6075 Old Tampa Highway","735.5","0","Natural Gas","","0","735.5","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cane Run","Louisville Gas & Electric Co","","38.1831","-85.8892","Louisville","Jefferson","Kentucky","40216","5252 Cane Run Road","823.3","0","Natural Gas","","0","823.3","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Caney River Wind Project","Caney River Wind Project","","37.46","-96.42","Howard","Elk","Kansas","67349","1201 RD 7","200","200","Wind","Wind","0","0","0","0","0","0","0","0","200","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Cannon Falls Energy Center","Invenergy Services LLC","","44.536688","-92.915528","Cannon Falls","Goodhue","Minnesota","55009","525 North Park Drive","408","0","Natural Gas","","0","408","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
"United States","Canyon Power Plant","City of Anaheim - (CA)","","33.858056","-117.861667","Anaheim","Orange","California","92806","3071 East Miraloma Ave.","200","0","Natural Gas","","0","200","0","0","0","0","0","0","0","0","0","0","EIA-860, EIA-860M and EIA-923","201705"
