"Reference Period","Source Agency","Tidal (MW)","Biomass (MW)","Geothermal (MW)","Wind (MW)","Solar (MW)","Nuclear (MW)","Pumped-Storage Hydroelectric (MW)","Hydroelectric (MW)","Other Energy Source (MW)","Petroleum (MW)","Natural Gas (MW)","Coal (MW)","Primary Renewable Energy Source","Primary Energy Source","Total Renewable Capacity (MW)","Total Capacity (MW)","Address","Zip Code / Postal Code","State / Province / Territory","County","City (Site Name)","Longitude","Latitude","Operator Name","Owner Name (Company)","Facility Name","Country"
"201708","OPG","0","0","0","0","0","0","0","8","0","0","0","0","Hydroelectric","Hydroelectric","8","8","","","Ontario","","Bala","-79.7529544","45.0205548","Ontario Power Generation Inc","","Big Eddy","Canada"
"2000","Statistics Canada","0","0","0","0","0","0","0","27.6","0","0","0","0","Hydroelectric","Hydroelectric","27.6","27.6","","","Ontario","","Worthington","-81.5780667","46.3839056","Vale Canada Limited / Vale Canada Limi","Vale Canada Limited/Vale Canada Limi","Big Eddy Inco","Canada"
"2000","Statistics Canada","0","0","0","0","0","0","0","10.6","0","0","0","0","Hydroelectric","Hydroelectric","10.6","10.6","","","Nova Scotia","","Mersey River","-64.9353444","44.1379675","Nova Scotia Power Inc","","Big Falls","Canada"
"201708","Innergex","0","0","0","0","0","0","0","40.6","0","0","0","0","Hydroelectric","Hydroelectric","40.6","40.6","","","British Columbia","","Fraser Valley","-121.859106","49.693045","Innergex Inc","Innergex Inc","Big Silver Creek","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","120","0","0","0","0","Hydroelectric","Hydroelectric","120","120","","","Alberta","","Nordegg","-116.3244505","52.3081136","TransAlta (100%)","TransAlta (100%)","Bighorn","Canada"
"201708","OPG","0","0","0","0","0","0","0","1","0","0","0","0","Hydroelectric","Hydroelectric","1","1","","","Ontario","","South River","-79.3967604","46.0760571","Ontario Power Generation Inc","","Bingham Chute","Canada"
"201708","MERN","0","0","0","0","0","0","0","4.8","0","0","0","0","Hydroelectric","Hydroelectric","4.8","4.8","","","Québec","","Pont Rouge","-71.7104115","46.7488811","Fiducie R.S.P. Hydro Inc/ Boralex Inc","Fiducie R.S.P. Hydro Inc/ Boralex Inc","Bird-1-2","Canada"
"2000","Statistics Canada","0","0","0","0","0","0","0","14.4","0","0","0","0","Hydroelectric","Hydroelectric","14.4","14.4","","","Newfoundland and Labrador","","Exploits River","-55.4721667","49.0153611","Newfoundland Labrador Hydroelectric Corp (Nalcor Energy)","","Bishops Falls","Canada"
"201601","NRCan","0","0","0","9","0","0","0","0","0","0","0","0","Wind","Wind","9","9","","","Ontario","","","-81.9917486","42.278731","","Gengrowth","Bisnett Line","Canada"
"201703","IESO","0","0","0","0","1","0","0","0","0","0","0","0","Solar","Solar","1","1","","","Ontario","","Red Rock","-88.314073","48.9427975","2397995 Ontario Inc","2397995 Ontario Inc","Black Bay 2","Canada"
"201612","CanWEA","0","0","0","2","0","0","0","0","0","0","0","0","Wind","Wind","2","2","","","Nova Scotia","","","-66.0203539","43.7516311","","","Black Pond","Canada"
"201612","CanWEA","0","0","0","298.8","0","0","0","0","0","0","0","0","Wind","Wind","298.8","298.8","","","Alberta","","Carmangay","-112.8226365","50.1524879","EDF/Enbridge","EDF/Enbridge","Blackspring Ridge","Canada"
"201612","CanWEA","0","0","0","66","0","0","0","0","0","0","0","0","Wind","Wind","66","66","","","Alberta","","Fort Macleod","-113.452164","49.6686665","TransAlta","TransAlta","Blue Trail","Canada"
"201601","BluEarth Renewables Inc","0","0","0","0","8.5","0","0","0","0","0","0","0","Solar","Solar","8.5","8.5","","","Ontario","","","-76.9250852","44.2044194","","Bluearth Renewables Inc","Bluearth Little Creek","Canada"
"2016","NTPC","0","0","0","0","0","0","0","7.5","0","0","0","0","Hydroelectric","Hydroelectric","7.5","7.5","","","Northwest Territories","","Yellowknife River","-114.2615273","62.6717672","Northwest Territories Power Corp","","Bluefish","Canada"
"201612","CanWEA","0","0","0","59.2","0","0","0","0","0","0","0","0","Wind","Wind","59.2","59.2","","","Ontario","","Zurich","-81.6281578","43.4846373","Varna Wind, LP","Varna Wind, LP","Bluewater","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","19","0","0","0","0","Hydroelectric","Hydroelectric","19","19","","","British Columbia","","Valemount","-119.1808297","52.2553296","TransAlta","TransAlta (100%)","Bone Creek","Canada"
"2012","Nelson","0","0","0","0","0","0","0","16.2","0","0","0","0","Hydroelectric","Hydroelectric","16.2","16.2","","","British Columbia","","Kootenay River","-117.4854103","49.4582019","Corporation of the City of Nelson","Nelson Hydro","Bonnington Falls","Canada"
"201612","CanWEA","0","0","0","72.9","0","0","0","0","0","0","0","0","Wind","Wind","72.9","72.9","","","Ontario","","Kerwood","-81.7024033","43.1127929","Bornish Wind, LP","Bornish Wind, LP","Bornish","Canada"
"201704","BC Hydro IPP supply","0","0","0","0","0","0","0","9","0","0","0","0","Hydroelectric","Hydroelectric","9","9","","","British Columbia","","Scuzzy Creek","-121.4584751","49.8113434","Boston Bar LP","Boston Bar LP","Boston Bar","Canada"
"201612","CanWEA","0","0","0","58.3","0","0","0","0","0","0","0","0","Wind","Wind","58.3","58.3","","","Ontario","","Montreal River Harbour","-84.5234727","47.2214096","Nodin Kitagan LP","Nodin Kitagan LP","Bow Lake","Canada"
"201612","CanWEA","0","0","0","6","0","0","0","0","0","0","0","0","Wind","Wind","6","6","","","Alberta","","Medicine Hat","-110.7275681","50.1004256","","","Box Springs","Canada"
"201703","IESO","0","0","0","0","0","0","0","1.9","0","0","0","0","Hydroelectric","Hydroelectric","1.9","1.9","","","Ontario","","Bracebridge","-79.3086002","45.0387683","Bracebridge Generation Ltd","Bracebridge Generation Limited","Bracebridge Falls","Canada"
"201512","Wikipedia","0","15.1","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","15.1","15.1","","","Ontario","","Brampton","-79.6824719","43.6969582","Algonquin Power Corp","","Brampton Biomass","Canada"
"201704","BC Hydro IPP supply","0","0","0","0","0","0","0","8","0","0","0","0","Hydroelectric","Hydroelectric","8","8","","","British Columbia","","","-123.1312021","50.0579468","","Run of River Power","Brandywine Creek","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","355","0","0","0","0","Hydroelectric","Hydroelectric","355","355","","","Alberta","","Drayton Valley","-115.3753924","52.910127","TransAlta (100%)","TransAlta (100%)","Brazeau","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Putnam","-80.9604415","42.9853902","Met Fiera Solar Breen 2 LP","Met Fiera Solar Breen 2 LP","Breen 2","Canada"
"201708","BC Hydro","0","0","0","0","0","0","0","180","0","0","0","0","Hydroelectric","Hydroelectric","180","180","","","British Columbia","","Bridge River","-122.2400375","50.7298504","BC Hydro","BC Hydro","Bridge River 1","Canada"
"201708","BC Hydro","0","0","0","0","0","0","0","298","0","0","0","0","Hydroelectric","Hydroelectric","298","298","","","British Columbia","","Bridge River","-122.2434031","50.7231283","","","Bridge River 2","Canada"
"201708","Columbia Power","0","0","0","0","0","0","0","140","0","0","0","0","Hydroelectric","Hydroelectric","140","140","","","British Columbia","","Kootenay River","-117.6206529","49.3248798","FortisBC","Columbia Power (50%) / Columbia Basin Trust (50%)","Brilliant","Canada"
"201708","Columbia Power","0","0","0","0","0","0","0","120","0","0","0","0","Hydroelectric","Hydroelectric","120","120","","","British Columbia","","Castlegar","-117.6197926","49.3231182","FortisBC","Columbia Power (50%) / Columbia Basin Trust (50%)","Brilliant Expansion 1","Canada"
"201708","Hydro-Québec","0","0","0","0","0","0","0","469","0","0","0","0","Hydroelectric","Hydroelectric","469","469","","","Québec","","La Grande","-70.5121288","54.4490666","Hydro-Québec","Hydro-Québec","Brisay","Canada"
"201304","Integrated Resource Recovery I","0","5.5","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","5.5","5.5","","","Ontario","","Mississauga","-79.6971742","43.6067304","","Region of Peel","Britannia LFG","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Brockville","-75.6981928","44.632887","TransCanada Energy Ltd","TransCanada Energy Ltd","Brockville 1","Canada"
"201703","IESO","0","0","0","0","9","0","0","0","0","0","0","0","Solar","Solar","9","9","","","Ontario","","Brockville","-75.8033197","44.6301371","TransCanada Energy Ltd","TransCanada Energy Ltd","Brockville 2","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Lyn","-75.7353731","44.5939185","Brockville Solar Inc","Brockville Solar Inc","Brockville Solar","Canada"
"201708","Hydro-Québec","0","26","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","26","26","","","Québec","","Bromptonville","-71.9524203","45.4807429","Kruger Energy","Kruger Energy","Brompton Biomass Cogeneration","Canada"
